name,address,exist_2012,exist_2013,exist_2014,exist_2015,exist_2016,exist_2017,exist_2018,change_2013,change_2014,change_2015,change_2016,change_2017,change_2018
A AND W,2300 YONGE ST,1,1,1,1,1,1,1,0,0,0,0,0,0
A AND W,2633 YONGE ST,0,0,0,0,0,0,1,0,0,0,0,0,1
A AND W,2856 DUNDAS ST W,0,0,0,0,0,1,1,0,0,0,0,1,0
A AND W,3100 ELLESMERE RD,0,1,1,1,1,1,1,1,0,0,0,0,0
A AND W,3300 BLOOR ST W,0,0,0,0,0,1,1,0,0,0,0,1,0
A AND W,35 EGLINTON AVE E,1,1,1,1,1,1,1,0,0,0,0,0,0
A AND W,368 QUEEN ST W,1,1,1,1,1,1,1,0,0,0,0,0,0
A AND W,45 OVERLEA BLVD,0,0,0,0,0,0,1,0,0,0,0,0,1
A AND W,500 BLOOR ST W,0,0,0,0,0,1,1,0,0,0,0,1,0
A AND W,605 ROGERS RD,0,0,0,0,0,0,1,0,0,0,0,0,1
A AND W,650 QUEEN ST W,0,0,0,0,0,1,1,0,0,0,0,1,0
A AND W,654 DANFORTH AVE,0,0,1,1,1,1,1,0,1,0,0,0,0
A AND W,665 MARKHAM RD,0,0,0,0,0,0,1,0,0,0,0,0,1
A AND W,75 BILLY BISHOP WAY,0,0,0,0,0,1,1,0,0,0,0,1,0
A AND W,756 BROADVIEW AVE,0,0,0,0,0,1,1,0,0,0,0,1,0
A AND W,8 MERCER ST,0,0,0,0,1,1,1,0,0,0,1,0,0
A AND W EXPRESS/COUNTRY STYLE,20 BLOOR ST E,1,1,1,1,1,1,1,0,0,0,0,0,0
A AND W PHARMACY,250 ALTON TOWERS CRCL,0,1,1,1,1,1,0,1,0,0,0,0,1
A AND W RESTAURANT,1115 BLOOR ST W,0,0,0,0,0,0,1,0,0,0,0,0,1
A AND W RESTAURANT,496 YONGE ST,1,1,1,1,1,1,1,0,0,0,0,0,0
A AND W RESTAURANTS,832 COLLEGE ST,0,0,0,0,1,1,1,0,0,0,1,0,0
A AND Z GOURMET BURGERS,182 ROYAL YORK RD,0,0,0,0,0,0,1,0,0,0,0,0,1
A ANDW,1638 AVENUE RD,0,0,0,0,1,1,1,0,0,0,1,0,0
A BIS GOURMET,101 TORO RD,1,1,1,1,1,1,0,0,0,0,0,0,1
A BISKET A BASKET,91 FRONT ST E,1,1,1,1,0,0,0,0,0,0,1,0,0
A BUCK OR TWO,2900 WARDEN AVE,0,0,1,1,0,0,0,0,1,0,1,0,0
A BUCK OR TWO,6384 YONGE ST,0,0,1,0,0,0,0,0,1,1,0,0,0
A C CAFE,55 HARBORD ST,0,0,0,0,1,1,1,0,0,0,1,0,0
